TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDefWins,,,,,,,,,,,,,
UL-Lafayette,263,422,1398,437,250,2628,15,8,415,505,2590,347,192,2678,12,3,5,5,5,5,5,5,5,5,5,5,5,5,
UL-Monroe,218,399,1186,450,240,2652,20,13,467,523,2189,317,189,2786,7,21,2,2,2,2,2,2,2,2,2,2,2,2,
Virginia,333,404,1497,435,296,3080,11,6,249,460,1954,389,217,2653,12,7,8,8,8,8,8,8,8,8,8,8,8,8,
Virginia Tech,368,489,2568,269,157,2104,15,12,247,468,1632,370,217,2615,15,43,7,7,7,7,7,7,7,7,7,7,7,7,
Washington,274,464,1434,485,270,3236,14,16,316,444,1819,375,194,2801,16,38,8,8,8,8,8,8,8,8,8,8,8,8,
Washington State,340,451,1338,446,242,3323,20,18,237,401,1050,498,243,2764,24,26,8,8,8,8,8,8,8,8,8,8,8,8,
West Virginia,321,571,2607,233,118,1948,8,10,256,437,1568,456,268,2997,21,48,7,7,7,7,7,7,7,7,7,7,7,7,
Western Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Wisconsin,293,536,2243,303,167,2630,12,11,278,428,1649,400,217,2617,11,48,9,9,9,9,9,9,9,9,9,9,9,9,
Wyoming,262,371,1013,436,249,3134,9,6,360,553,2765,332,192,2546,12,24,5,5,5,5,5,5,5,5,5,5,5,5,
Colorado,303,435,1122,452,283,3351,13,15,398,450,1810,416,247,3375,10,16,6,6,6,6,6,6,6,6,6,6,6,6,
Colorado State,337,509,2334,320,195,2984,10,19,283,451,1873,352,200,2574,12,23,5,5,5,5,5,5,5,5,5,5,5,5,5
Louisville,392,480,2729,368,219,3134,9,8,312,480,1993,441,243,2982,13,30,10,10,10,10,10,10,10,10,10,10,10,10,
Ohio,243,609,2201,238,120,1851,7,19,372,487,1800,351,179,2638,11,20,1,1,1,1,1,1,1,1,1,1,1,1,
Florida State,370,438,1622,419,243,3409,12,11,201,424,1334,420,233,2611,13,35,8,8,8,8,8,8,8,8,8,8,8,8,8
Pittsburgh,331,437,1380,401,233,3500,13,7,288,497,2209,376,213,2585,13,42,8,8,8,8,8,8,8,8,8,8,8,8,
Arizona State,272,403,1408,465,244,3291,11,16,328,476,1810,393,216,3047,16,26,4,4,4,4,4,4,4,4,4,4,4,4,4
Kansas,312,452,1932,372,235,3084,13,11,340,496,2359,344,204,2352,12,46,6,6,6,6,6,6,6,6,6,6,6,6,
Memphis,322,485,2272,446,243,3165,13,15,233,452,1313,373,178,2258,11,44,7,7,7,7,7,7,7,7,7,7,7,7,
Navy,379,705,3913,145,71,1264,6,13,245,518,2179,317,188,1846,15,3,6,6,6,6,6,6,6,6,6,6,6,6,
Stanford,168,414,1054,397,189,2059,18,8,324,375,1513,459,250,3259,9,18,5,5,5,5,5,5,5,5,5,5,5,5,5
UTEP,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Alabama-Birmingham,233,443,1589,337,164,2599,13,15,287,484,2136,385,223,2499,14,12,5,,,,,,,,,,,,
Mid Tennessee St,322,494,1735,366,224,2720,8,11,375,486,2051,401,248,3053,12,10,4,,,,,,,,,,,,
Southern Methodist,127,504,1552,290,135,1576,15,11,403,465,1968,335,189,2704,10,7,4,,,,,,,,,,,,
Texas A & M,276,479,2127,330,178,2551,13,17,465,567,2701,311,192,2477,6,28,4,,,,,,,,,,,,
Texas-El Paso,275,542,2201,409,207,2570,24,16,498,524,2481,395,224,3347,11,13,3,,,,,,,,,,,,
Troy State,178,514,1855,311,132,1672,15,16,272,438,1506,393,232,2690,16,7,7,,,,,,,,,,,,
Central Florida,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
